

111992,"['#\xa0 \xa0 \xa0 \xa0deliverablesworking daystimelinetranche (% of the contract amount)', '1the methodology is submitted to un women\xa0 \xa0 \xa0 \xa0 5till 22 may 2023\xa0 \xa0 \xa020%', '\xa0 \xa0 \xa0 \xa0 \xa02.1\xa0the required information is gathered from first hands at 5 one-day national consultations (4 face-to-face and 1 online in gbao). joint briefing on 5 consultations held is presented to un women\xa0 \xa0 \xa0 \xa0 20till 30 july 2023\xa0\xa0\xa0\xa0 \xa0 \xa0 \xa050%', '\xa0 \xa0 \xa0 \xa0 2.2draft state programme and nap on prevention of violence in the family in rt for 2024-2026 is submitted to un women\xa0 \xa0 \xa02030 august 2023', '\xa0 \xa0 \xa03draft state programme and nap on prevention of violence in the family in rt for 2024-2026 is validated by cowfa. minutes of final meeting with representatives of cowfa or official letter from cowfa is available.\xa0 \xa0 \xa0 \xa05by 20 september 2023\xa0 \xa0 30%']"
111991,[]
111990,[]
111989,[]
111988,[]
111987,[]
111986,"['noduties and responsibilities% of time', '1communications supportassist with the organizing events, panel discussions, webinars and other public engagements – including, but not limited to, logistical support, minute-taking, photography, registration and responding to queriescover events for social media and the uncdf websiteliaise with the print, radio, television and digital/online media outlets and agencies to increase programme visibilityassist with graphic design, procurement when required, coordination and social media50%', '2knowledge management supportdraft press releases to cover important events, activities, results and achievements of the programmeassist with the development of knowledge products, blogs, and powerpoint presentations relating to the summit or summit-related meetings40%', '3programme supportundertake other specific tasks related to picap as specified by the supervisorpitch ideas on ways to enhance communication outputsother duties as assigned10%\xa0']"
111985,[]
111984,"['actividadproducto/ entregableplazo de entrega', 'elaboración de documento físico y digital editable que contenga el plan de trabajo que incluya el cronograma de actividades. deberá ser entregado a más tardar una semana después de firmado el contrato, y contará con el visto bueno del director de censos y encuestas. deberá contar con la firma de revisión por parte de la jefatura departamento de censos y encuestas y vo. bo. de la dirección de censos y encuestas.producto 1: documento físico y digital editable que contenga el plan de trabajo que incluya el cronograma de actividades. deberá ser entregado a más tardar una semana después de firmado el contrato, y contará con el visto bueno del director de censos y encuestas. deberá contar con la firma de revisión por parte de la jefatura departamento de censos y encuestas y vo. bo. de la dirección de censos y encuestas.15 días luego de la firma del contrato', 'elaborar documento físico y digital editable que contenga los formularios de control del trabajo de campo para la prueba piloto y la encuesta definitiva, de acuerdo con las necesidades de la encuesta. deberá contar con la firma de aceptación por parte de la jefatura departamento de censos y encuestas, vo. bo. de la dirección de censos y encuestas y revisión.producto 2: documento físico y digital editable que contenga los formularios de control del trabajo de campo para la prueba piloto y la encuesta definitiva, de acuerdo con las necesidades de la encuesta. deberá contar con la firma de aceptación por parte de la jefatura departamento de censos y encuestas, vo. bo. de la dirección de censos y encuestas y revisión.30 días después de la entrega del primer producto', 'elaborar documento físico y digital editable que contenga los manuales de procedimientos técnicos de las actividades de campo e informe derivado de la revisión y actualización de los instrumentos técnicos a utilizar en el levantamiento de información (por ejemplo, formularios de control, notas para los jefes (as) de hogares, autoridades, etc.) deberá contar con la firma de revisión por parte de la jefatura departamento de censos y encuestas y vo. bo. de la dirección de censos y encuestas.producto 3: documento físico y digital editable que contenga los manuales de procedimientos técnicos de las actividades de campo e informe derivado de la revisión y actualización de los instrumentos técnicos a utilizar en el levantamiento de información (por ejemplo, formularios de control, notas para los jefes (as) de hogares, autoridades, etc.) deberá contar con la firma de revisión por parte de la jefatura departamento de censos y encuestas y vo. bo. de la dirección de censos y encuestas.30 días después de la entrega del segundo producto', 'elaborar documento físico y digital editable que contenga el plan de capacitación para el personal que tendrá a cargo el levantamiento de información en campo, incluyendo la metodología a utilizar en la capacitación, los recursos necesarios, agenda de capacitación, la propuesta de prueba (examen) final para evaluar el aprendizaje, resultados de la capacitación que facilitó, resultados de las pruebas, conclusiones y recomendaciones. deberá contar con la firma de revisión por parte de la jefatura departamento de censos y encuestas y vo. bo. de la dirección de censos y encuestas.producto 4: documento físico y digital editable que contenga el plan de capacitación para el personal que tendrá a cargo el levantamiento de información en campo, incluyendo la metodología a utilizar en la capacitación, los recursos necesarios, agenda de capacitación, la propuesta de prueba (examen) final para evaluar el aprendizaje, resultados de la capacitación que facilitó, resultados de las pruebas, conclusiones y recomendaciones. deberá contar con la firma de revisión por parte de la jefatura departamento de censos y encuestas y vo. bo. de la dirección de censos y encuestas.30 días después de la entrega del tercer producto', 'elaborar documento físico y digital editable que contenga el plan de prevención y control de riesgos, tomando en cuenta los lugares poblados establecidos en la muestra y resultados de la actualización cartográfica. asimismo, un documento físico y digital que contenga la propuesta de variables e información integradas en el tablero informático, diseñado para la medición de avance y cobertura del trabajo de campo, para el correcto control, toma de decisiones y evaluación del seguimiento. deberá contar con la firma de revisión por parte de la jefatura departamento de censos y encuestas y vo. bo. de la dirección de censos y encuestas.producto 5: documento físico y digital editable que contenga el plan de prevención y control de riesgos, tomando en cuenta los lugares poblados establecidos en la muestra y resultados de la actualización cartográfica. asimismo, un documento físico y digital que contenga la propuesta de variables e información integradas en el tablero informático, diseñado para la medición de avance y cobertura del trabajo de campo, para el correcto control, toma de decisiones y evaluación del seguimiento. deberá contar con la firma de revisión por parte de la jefatura departamento de censos y encuestas y vo. bo. de la dirección de censos y encuestas.30 días después de la entrega del cuarto producto', 'elaborar documento físico y digital editable que contenga el tendido de la muestra, metodología de trabajo de campo y la distribución de las cargas de trabajo para cada uno de los equipos conformados. deberá contar con la firma de revisión por parte de la jefatura departamento de censos y encuestas y vo. bo. de la dirección de censos y encuestas.producto 6: documento físico y digital editable que contenga el tendido de la muestra, metodología de trabajo de campo y la distribución de las cargas de trabajo para cada uno de los equipos conformados. deberá contar con la firma de revisión por parte de la jefatura departamento de censos y encuestas y vo. bo. de la dirección de censos y encuestas.30 días después de la entrega del quinto producto', 'elaborar documento mensual físico y digital editable, que contenga el informe técnico de avance, del monitoreo de las supervisiones al personal de campo de la prueba piloto, evaluando la correcta implementación de la metodología. deberá contar con la firma de revisión por parte de la jefatura departamento de censos y encuestas y vo. bo.producto 7: documento mensual físico y digital editable, que contenga el informe técnico de avance, del monitoreo de las supervisiones al personal de campo de la prueba piloto, evaluando la correcta implementación de la metodología. deberá contar con la firma de revisión por parte de la jefatura departamento de censos y encuestas y vo. bo.30 días después de la entrega del sexto producto', 'elaborar documento final de la consultoría físico y digital editable: debe incluir los resultados alcanzados durante el operativo de campo de la encuesta, la cobertura alcanzada a nivel de unidades primarias de muestreo y de unidades secundarias de muestreo, buenas prácticas, las lecciones aprendidas en el uso del levantamiento de la información en su modalidad digital, así como las observaciones y recomendaciones para futuras encuestas de este tipo que el ine ejecute. deberá contar con la firma de revisión por parte de la jefatura departamento de censos y encuestas y vo. bo. de la dirección de censos y encuestas.producto 8: documento final de la consultoría físico y digital editable: debe incluir los resultados alcanzados durante el operativo de campo de la encuesta, la cobertura alcanzada a nivel de unidades primarias de muestreo y de unidades secundarias de muestreo, buenas prácticas, las lecciones aprendidas en el uso del levantamiento de la información en su modalidad digital, así como las observaciones y recomendaciones para futuras encuestas de este tipo que el ine ejecute. deberá contar con la firma de revisión por parte de la jefatura departamento de censos y encuestas y vo. bo. de la dirección de censos y encuestas.6 de diciembre 2023', 'pagoproducto/ entregablecondición de pago', '1producto no.19% del total del contrato', '2producto no.213% del total del contrato', '3producto no.313% del total del contrato', '4producto no.413% del total del contrato', '5producto no.513% del total del contrato', '6producto no.613% del total del contrato', '7producto no.713% del total del contrato', '8producto no.813% del total del contrato', 'criterios de evaluaciónpuntaje', 'licenciatura en carreras de ciencias sociales, económicas o afines20', 'experiencia técnica (5 años) en la coordinación de operativos de campo de las encuestas de hogares y en actualización de cartográfica.20', 'experiencia de manejo de paquetes estadísticos de análisis de bases de datos y abordaje de violencia de género.\xa020', 'experiencia en planificación y ejecución de operativos de campo para encuestas o censos.20', 'experiencia demostrable en conocimiento sobre realidad del país.20', 'total100']"
111983,[]
111982,[]
111981,[]
111980,[]
111979,[]
111978,"['deliverables\xa0timeframe\xa0\xa0amount of payment', 'monthly review and as required update of workplansummary report of tasks performed under expected duties and responsibilities\xa0on a monthly basis, by 25th of every monthmonthly lumpsum', '\xa0evaluation criteriamax. points', 'technical evaluation (70%)\xa0', 'language requirementsfluency in written and spoken englishrequired', 'educationbachelor degree in computer engineering or related information technology field.100: without degree10:degree', 'professional experienceat least 2 years of progressively experience in the area of ict support.200: without experience0-10: less than 2 years of experience10-20: more than 2 year experience', '\xa0experience with managing online meeting, proficiency in the use of zoom, ms teams tools are considered as \xa0advantage100: without experience0-10: experience', '\xa0video creating and editing skills considered an advantage50: without experience0-5: experience', '\xa0knowledge of graphics packages considered an advantage.50: without experience0-5: experience', '\xa0experience with ms office 365 is an asset.50: no experience5: experience', '\xa0experience in erp systems is an asset, preferably oracle.50: no experience5: experience', '\xa0knowledge of un women ict functions and applications considered an asset.knowledge of un women network administration and use of hardware/software, telecommunications facilities100: no experience10: experience']"
111977,[]
111976,"['tâchesdélaislivrablespersonne responsable', 'séance de travail avec les agences du consortium (onu femmes-unfpa-uncdf) à niamey\xa01 jourcadrage technique validél’équipe de l’évaluation', 'phase de préparation\xa0: conception des outils de collecte et élaboration du rapport de démarrage (consultant en collaboration avec onu femmes-unfpa-uncdf).\xa05 joursinstruments de collecte et rapport de démarrage transmisl’équipe de l’évaluation', 'phase de collecte de données\xa0\xa0 14 jourslistes et sources d’informationl’équipe de l’évaluation', 'phase de l’analyse de données et production du rapport provisoire\xa010 jours\xa0rapport provisoirel’équipe de l’évaluation', 'séance de présentation avec le consortium (onu femmes-unfpa-uncdf)\xa01 joursynthèses des recommandations et suggestions sur le rapport provisoirel’équipe de l’évaluation et onu femmes', 'production du rapport final\xa0 10 joursrapport finall’équipe de l’évaluation', 'validation4 joursrapport final validéle comité de gestion de l’évaluation']"
